,precision,recall,f1-score,support
1,0.2857142857142857,0.2857142857142857,0.2857142857142857,14.0
2,0.3157894736842105,0.42857142857142855,0.36363636363636365,14.0
3,0.4,0.26666666666666666,0.32,15.0
accuracy,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.32558139534883723
macro avg,0.3338345864661654,0.32698412698412693,0.32311688311688314,43.0
weighted avg,0.3353733170134639,0.32558139534883723,0.3230443974630021,43.0
