,precision,recall,f1-score,support
1,0.38461538461538464,0.35714285714285715,0.3703703703703704,14.0
2,0.35714285714285715,0.35714285714285715,0.35714285714285715,14.0
3,0.5,0.5333333333333333,0.5161290322580646,15.0
accuracy,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907
macro avg,0.41391941391941395,0.4158730158730159,0.41454741992376404,43.0
weighted avg,0.41592128801431133,0.4186046511627907,0.41690978300130593,43.0
