,precision,recall,f1-score,support
1,0.3333333333333333,0.21428571428571427,0.2608695652173913,14.0
2,0.26666666666666666,0.2857142857142857,0.2758620689655172,14.0
3,0.21052631578947367,0.26666666666666666,0.23529411764705882,15.0
accuracy,0.2558139534883721,0.2558139534883721,0.2558139534883721,0.2558139534883721
macro avg,0.27017543859649124,0.25555555555555554,0.2573419172766558,43.0
weighted avg,0.26878824969400245,0.2558139534883721,0.25682917775038605,43.0
