,precision,recall,f1-score,support
1,0.0,0.0,0.0,14.0
2,0.3125,0.35714285714285715,0.3333333333333333,14.0
3,0.4230769230769231,0.7333333333333333,0.5365853658536585,15.0
accuracy,0.37209302325581395,0.37209302325581395,0.37209302325581395,0.37209302325581395
macro avg,0.2451923076923077,0.3634920634920635,0.28997289972899726,43.0
weighted avg,0.24932915921288015,0.37209302325581395,0.2957080733598033,43.0
