,precision,recall,f1-score,support
1,0.4444444444444444,0.5714285714285714,0.5,14.0
2,0.4,0.42857142857142855,0.4137931034482759,14.0
3,0.7,0.4666666666666667,0.56,15.0
accuracy,0.4883720930232558,0.4883720930232558,0.4883720930232558,0.4883720930232558
macro avg,0.5148148148148147,0.48888888888888893,0.49126436781609195,43.0
weighted avg,0.5191214470284238,0.4883720930232558,0.49286287089013636,43.0
