,precision,recall,f1-score,support
1,0.6,0.42857142857142855,0.5,14.0
2,0.3,0.42857142857142855,0.3529411764705882,14.0
3,0.38461538461538464,0.3333333333333333,0.3571428571428571,15.0
accuracy,0.3953488372093023,0.3953488372093023,0.3953488372093023,0.3953488372093023
macro avg,0.4282051282051282,0.3968253968253968,0.4033613445378151,43.0
weighted avg,0.4271914132379249,0.3953488372093023,0.40228649599374633,43.0
