,precision,recall,f1-score,support
1,0.3333333333333333,0.2857142857142857,0.30769230769230765,14.0
2,0.3333333333333333,0.35714285714285715,0.3448275862068965,14.0
3,0.3125,0.3333333333333333,0.3225806451612903,15.0
accuracy,0.32558139534883723,0.32558139534883723,0.32558139534883723,0.32558139534883723
macro avg,0.3263888888888889,0.32539682539682535,0.32503351302016487,43.0
weighted avg,0.3260658914728682,0.32558139534883723,0.3249764695815864,43.0
