,precision,recall,f1-score,support
1,0.3,0.21428571428571427,0.25,14.0
2,0.29411764705882354,0.35714285714285715,0.3225806451612903,14.0
3,0.4375,0.4666666666666667,0.45161290322580644,15.0
accuracy,0.3488372093023256,0.3488372093023256,0.3488372093023256,0.3488372093023256
macro avg,0.3438725490196079,0.34603174603174597,0.34139784946236557,43.0
weighted avg,0.3460499316005472,0.3488372093023256,0.3439609902475619,43.0
